event;Pre-Europeans 2010;EPE2011;Lleida, september 2010;Claude Weber
competition;Pre-Europeans 2010;PE2010
competition;32 Campeonato de España de Aerostación;CE2010
pilot;1;Ricardo Aracil;ES;Mallorca balloons
pilot;2;Jordi Aracil
pilot;3;Iván Ayala
pilot;4;Pep Julià
pilot;5;Carles Lladó
pilot;6;Blai Carbonell
pilot;7;Josep M. Lladó
pilot;8;Carles Figueras
pilot;9;Jordi Rodríguez
pilot;10;Xavi Aguilera
pilot;11;Àngel Aguirre
pilot;12;José Luis Calderón
pilot;13;Sebas Fernández
pilot;15;Daniel Sanz
pilot;16;Cristian Biosca
pilot;21;Jan Timmers
pilot;22;Pat Pruchnickij
pilot;23;Philippe De Cock
pilot;24;Patrick Legendre
pilot;25;Nicolas Schwartz
pilot;27;Uwe Schneider
